player_lower,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,Player,Team,Role,YR,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,DunkAtt,Dunk_Freq,Dunk_FG%,First_Season,Last_Season
a.j. neal,0,1,0,6,4,1,3,3,1,0,0,0,A.J. Neal,LIU,G,Sr,0,1,1,0.0,,1,0.0,,10,0.6,0.16666666666666666,11,0.5454545454545454,0.16666666666666666,6,0.5,0.3333333333333333,0.2222222222222222,17,0.058823529411764705,0.5882352941176471,0.35294117647058826,0.6470588235294118,0,0.0,,2026,2026
a.j. staton-mccray,16,6,9,4,10,1,18,25,17,2,0,2,A.J. Staton-McCray,Seton Hall,G,Sr,14,6,20,0.7,0.5,22,0.7272727272727273,0.5625,14,0.2857142857142857,0.25,36,0.5555555555555556,0.5,43,0.4186046511627907,0.9444444444444444,0.7105263157894737,79,0.27848101265822783,0.17721518987341772,0.5443037974683544,0.45569620253164556,2,0.02531645569620253,1.0,2026,2026
aaron clark,11,18,1,6,8,0,8,14,2,0,0,0,Aaron Clark,Pepperdine,G,Jr,11,18,29,0.3793103448275862,0.09090909090909091,29,0.3793103448275862,0.09090909090909091,14,0.42857142857142855,0.0,43,0.3953488372093023,0.058823529411764705,22,0.36363636363636365,0.25,0.12,65,0.4461538461538462,0.2153846153846154,0.3384615384615385,0.6615384615384615,0,0.0,,2026,2026
aaron davis,5,2,1,0,4,0,4,10,2,0,0,0,Aaron Davis,Bryant,G,Jr,5,2,7,0.7142857142857143,0.2,7,0.7142857142857143,0.2,4,0.0,,11,0.45454545454545453,0.2,14,0.2857142857142857,0.5,0.3333333333333333,25,0.28,0.16,0.56,0.44,0,0.0,,2026,2026
aaron mcbride,14,5,7,1,5,0,5,5,5,5,0,3,Aaron McBride,Loyola Marymount,F,Jr,9,5,14,0.6428571428571429,0.4444444444444444,19,0.7368421052631579,0.5,6,0.16666666666666666,0.0,25,0.6,0.4666666666666667,10,0.5,1.0,0.6,35,0.5428571428571428,0.17142857142857143,0.2857142857142857,0.7142857142857143,5,0.14285714285714285,1.0,2026,2026
aaron nkrumah,9,8,1,8,13,2,5,15,4,2,0,1,Aaron Nkrumah,Tennessee St.,G,Sr,7,8,15,0.4666666666666667,0.0,17,0.5294117647058824,0.1111111111111111,21,0.38095238095238093,0.25,38,0.4473684210526316,0.17647058823529413,20,0.25,0.8,0.3181818181818182,58,0.29310344827586204,0.3620689655172414,0.3448275862068966,0.6551724137931034,2,0.034482758620689655,1.0,2026,2026
abdi bashir jr.,0,2,0,4,8,0,25,25,20,0,0,0,Abdi Bashir Jr.,Kansas St.,G,Jr,0,2,2,0.0,,2,0.0,,12,0.3333333333333333,0.0,14,0.2857142857142857,0.0,50,0.5,0.8,0.6896551724137931,64,0.03125,0.1875,0.78125,0.21875,0,0.0,,2026,2026
abdulai fanta kabba,13,6,11,0,0,0,0,0,0,7,0,6,Abdulai Fanta Kabba,Western Carolina,C,So,6,6,12,0.5,0.8333333333333334,19,0.6842105263157895,0.8461538461538461,0,,,19,0.6842105263157895,0.8461538461538461,0,,,0.8461538461538461,19,1.0,0.0,0.0,1.0,7,0.3684210526315789,1.0,2026,2026
ac bryant,0,3,0,0,0,0,15,20,14,0,0,0,AC Bryant,Jacksonville St.,G,Jr,0,3,3,0.0,,3,0.0,,0,,,3,0.0,,35,0.42857142857142855,0.9333333333333333,0.9333333333333333,38,0.07894736842105263,0.0,0.9210526315789473,0.07894736842105263,0,0.0,,2026,2026
acaden lewis,23,7,4,3,5,0,4,16,4,0,0,0,Acaden Lewis,Villanova,G,Fr,23,7,30,0.7666666666666667,0.17391304347826086,30,0.7666666666666667,0.17391304347826086,8,0.375,0.0,38,0.6842105263157895,0.15384615384615385,20,0.2,1.0,0.26666666666666666,58,0.5172413793103449,0.13793103448275862,0.3448275862068966,0.6551724137931034,0,0.0,,2026,2026
