Pick,YYR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
1,Fr,6-4,John Wall,Kentucky,SEC,37,G,83.9,4.4,4.5,7.7,4.8,2.9,108.7,88.8,26.9,50.3,56.2,2.7,10.1,34.8,24.2,1.6,1.5,2.9,53,2.2,0.637,0.754,0.509,26,5,0.325
1,Fr,6-2,Kyrie Irving,Duke,ACC,11,G,20.5,6,3.8,13.9,9.5,4.4,130.5,87.2,27.2,61.5,69.7,2.3,10.6,29.8,18.6,1.7,1.8,3,68.3,3,0.667,0.901,0.569,37.5,7.3,0.462
1,Fr,6-10,Anthony Davis,Kentucky,SEC,40,C,80.1,5.9,5.6,16.7,9.1,7.6,133.8,75.8,19.1,62.8,65.4,11.6,23.9,7.5,10,1.2,13.7,2.5,60.2,2.4,0.874,0.709,0.653,5.9,0.9,0.15
1,Fr,6-8,Anthony Bennett,UNLV,MWC,34,F,67.8,3.7,3.8,8.2,5.9,2.3,112.8,85.8,25.7,57.5,60.4,9.9,21.3,8.2,15.3,0.5,4.3,1.5,46,3.4,0.714,0.696,0.576,25.8,5.9,0.383
1,Fr,6-8,Andrew Wiggins,Kansas,B12,35,F,81.4,4.2,4,7,5.1,1.8,112.3,94.5,25.1,49.9,56.3,8.4,12.3,9.2,15.9,0.7,3.1,2.1,53.8,3.3,0.697,0.775,0.493,29.9,6.3,0.341
1,Fr,6-11,Karl-Anthony Towns,Kentucky,SEC,39,C,52.3,3.5,3.9,13.1,6.3,6.8,122.7,73.2,24.2,57,62.7,14.1,22.2,11.5,16.6,0.8,11.4,1.4,52.3,5.6,0.719,0.813,0.577,3.1,0.6,0.25
1,Fr,6-10,Ben Simmons,LSU,SEC,33,F,86.5,5,4.4,9.8,6.5,3.3,112.9,93.5,28.2,56.1,60,9.6,26.8,27.4,18.6,1.4,2.5,3.1,76.9,3.2,0.723,0.67,0.561,0.8,0.1,0.333
1,Fr,6-4,Markelle Fultz,Washington,P12,25,G,71.6,5.6,3.1,8.8,7.6,1.2,113.6,105,31.7,53.5,55.8,4,14,35.5,15.6,1.9,3.1,2.4,38.3,2.8,0.617,0.649,0.502,28.7,7.8,0.413
1,Fr,7-1,Deandre Ayton,Arizona,P12,35,C,82.5,6.1,4.1,9.9,8,1.9,126.7,94,26.2,62.5,65,13.5,28.2,10.2,13.1,0.8,6.1,1,42.4,2.8,0.808,0.733,0.635,7.8,1.7,0.343
1,Fr,6-7,Zion Williamson,Duke,ACC,33,F,64.9,6.8,5,18.7,12.8,5.9,129.2,81.4,28.2,70.8,70.2,12.8,18,15,15.2,0.9,5.8,3.9,46.7,2.8,0.789,0.64,0.747,16.3,3.9,0.338
1,Fr,6-5,Anthony Edwards,Georgia,SEC,31,G,78.8,3.8,3.3,4.9,4.4,0.5,103,98.3,28.8,47,52.2,2.4,14.5,17.9,15.4,1,1.6,2.3,33.8,2.7,0.69,0.77,0.502,48.6,12.8,0.291
1,Fr,6-8,Cade Cunningham,Oklahoma St.,B12,27,F,78,4.3,4.5,7.4,4.8,2.6,104.1,90,28.6,51.6,57.5,2.3,16.2,20.2,22,0.8,2.3,2.5,38.9,2.8,0.62,0.846,0.463,38.7,8.9,0.4
1,Fr,6-10,Paolo Banchero,Duke,ACC,39,F,82.2,4.7,4,7.1,5.5,1.6,111.3,91.9,27.2,52,55.7,6.5,19.1,17.5,15.4,1.3,2.7,1.9,36.6,2.3,0.676,0.729,0.525,25.3,5.9,0.338
1,Fr,6-9,Cooper Flagg,Duke,ACC,37,F,72.8,6,5.1,15,9.2,5.8,123,83.4,30.8,53.3,59.3,5.5,21.2,26.8,13.5,2,4.9,2.8,42.9,2.5,0.605,0.84,0.517,27.2,7.2,0.385
2,Jr,6-7,Evan Turner,Ohio St.,B10,101,F,76.9,4.3,4.6,7.6,4,3.6,104.6,86.7,28.5,52.7,57.7,6.1,18.3,27.5,23.7,1.2,2.7,3,47.7,3.3,0.785,0.759,0.525,13.9,2.8,0.362
2,So,6-8,Derrick Williams,Arizona,P12,69,F,71.7,5,3.4,8.9,7.6,1.3,119.1,93,27.6,62.1,66,10.9,20.9,7.7,16.9,0.4,2.3,1.6,85,3.7,0.737,0.719,0.598,13.6,2.7,0.511
2,Jr,6-5,Victor Oladipo,Indiana,B10,104,G,61.3,3.4,3.4,9.1,5.5,3.6,113.3,87.8,23,57,60.4,10.4,14.7,14,20.5,0.9,2.3,3.8,47.7,3.9,0.644,0.716,0.585,18.8,3.3,0.338
2,Fr,6-7,Michael Kidd-Gilchrist,Kentucky,SEC,40,F,77.8,3.6,4.3,6.7,3.9,2.9,111.8,86.5,21.3,51.1,57,10.3,16.1,10.8,19.6,0.9,2.8,1.9,58.9,3.1,0.699,0.745,0.535,15.6,2.4,0.255
2,Fr,6-8,Jabari Parker,Duke,ACC,35,C,76.4,4.9,3.9,6.8,6.3,0.5,111.7,93.1,31.6,51.1,55.8,11.4,23.1,8.7,14.5,0.5,4,2.1,42.9,3.1,0.623,0.748,0.504,21.2,6,0.358
