Player_lower,Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,RimFG%,RimAst%,MidFG%,MidAst%,ThreeFG%,ThreeAst%,DunkFG%,DunkAst%
cameron thomas,Cameron Thomas,52,29,11,83,127,17,68,140,52,3,0,1,64.19753086419753,17.46031746031746,39.523809523809526,17.0,32.69230769230769,43.333333333333336,100.0,25.0
jamal murray,Jamal Murray,77,34,22,54,96,7,113,164,101,18,1,10,69.36936936936937,22.22222222222222,36.0,11.475409836065571,40.794223826714806,47.19626168224299,94.73684210526316,35.714285714285715
r.j. barrett,R.J. Barrett,168,94,64,78,126,19,73,164,63,40,2,28,64.12213740458014,27.58620689655172,38.23529411764706,19.587628865979383,30.801687763713083,46.32352941176471,95.23809523809524,41.17647058823529
alec burks,Alec Burks,225,121,92,134,191,30,47,102,27,46,2,34,65.02890173410405,29.02208201892745,41.23076923076923,18.29268292682927,31.543624161073826,36.48648648648648,95.83333333333334,42.5
luke kennard,Luke Kennard,103,55,19,132,158,28,143,230,113,5,0,2,65.18987341772153,15.57377049180328,45.51724137931035,17.5,38.337801608579085,44.140625,100.0,28.57142857142857
kon knueppel,Kon Knueppel,77,45,21,20,29,2,84,123,78,2,3,1,63.114754098360656,21.428571428571427,40.81632653061224,9.090909090909092,40.57971014492754,48.14814814814815,40.0,33.33333333333333
brandin podziemski,Brandin Podziemski,80,46,23,62,85,13,83,109,48,8,2,2,63.49206349206349,22.330097087378643,42.17687074829932,17.333333333333336,43.22916666666667,36.6412213740458,80.0,20.0
james anderson,James Anderson,127,71,52,49,93,15,74,143,58,26,2,16,64.14141414141415,29.05027932960894,34.50704225352113,23.4375,34.10138248847927,43.93939393939394,92.85714285714286,38.095238095238095
jimmy butler,Jimmy Butler,205,95,106,94,177,49,36,54,35,33,0,22,68.33333333333333,34.08360128617363,34.68634686346864,34.26573426573427,40.0,49.29577464788733,100.0,40.0
v.j. edgecombe,V.J. Edgecombe,76,50,30,37,59,8,50,99,43,33,3,16,60.31746031746032,28.30188679245283,38.54166666666667,17.77777777777778,33.557046979865774,46.236559139784944,91.66666666666666,32.6530612244898
john konchar,John Konchar,415,188,181,109,134,25,175,260,130,89,8,54,68.82255389718075,30.369127516778523,44.8559670781893,18.65671641791045,40.22988505747127,42.62295081967213,91.75257731958764,37.76223776223776
jabari brown,Jabari Brown,111,58,51,59,112,14,137,218,121,9,3,7,65.68047337278107,31.48148148148148,34.50292397660819,19.17808219178082,38.59154929577465,46.89922480620155,75.0,43.75
jae crowder,Jae Crowder,216,88,162,56,107,32,103,191,94,12,0,9,71.05263157894737,42.85714285714285,34.355828220858896,36.36363636363637,35.034013605442176,47.71573604060914,100.0,42.85714285714285
jordan adams,Jordan Adams,147,57,74,128,174,78,98,196,93,0,0,0,72.05882352941177,33.4841628959276,42.3841059602649,37.86407766990291,33.33333333333333,48.69109947643979,0.0,0.0
ben mclemore,Ben McLemore,90,36,46,35,65,17,73,101,68,44,1,31,71.42857142857143,33.82352941176471,35.0,32.69230769230769,41.95402298850575,48.226950354609926,97.77777777777776,41.333333333333336
da'sean butler,Da'Sean Butler,57,33,36,81,136,39,70,127,62,5,0,4,63.33333333333333,38.70967741935484,37.32718894009216,32.5,35.53299492385787,46.96969696969697,100.0,44.44444444444444
chris duarte,Chris Duarte,126,74,45,52,69,8,108,176,77,25,2,12,63.0,26.31578947368421,42.97520661157025,13.333333333333334,38.0281690140845,41.62162162162162,92.5925925925926,32.432432432432435
buddy hield,Buddy Hield,323,195,89,111,225,22,349,546,268,50,8,25,62.35521235521235,21.601941747572813,33.035714285714285,16.541353383458645,38.99441340782123,43.43598055105348,86.20689655172413,33.33333333333333
doron lamb,Doron Lamb,94,53,42,98,145,28,144,159,139,0,0,0,63.94557823129252,30.88235294117647,40.32921810699588,22.22222222222222,47.52475247524752,49.11660777385159,0.0,0.0
langston galloway,Langston Galloway,159,96,55,155,287,40,343,462,281,36,5,19,62.35294117647059,25.70093457943925,35.06787330316742,20.51282051282051,42.60869565217392,45.032051282051285,87.8048780487805,34.54545454545455
josh hart,Josh Hart,337,127,163,133,197,32,207,325,190,50,1,26,72.62931034482759,32.6,40.30303030303031,19.393939393939394,38.90977443609023,47.85894206549119,98.0392156862745,34.21052631578947
