Player,Team,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,player_lower,Role,YR,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,DunkAtt,Dunk_Freq,Dunk_FG%,First_Season,Last_Season
Elijah Elliott,New Mexico St.,9,6,1,10,18,2,20,31,10,0,0,0,elijah elliott,G,Sr,9,6,15,0.6,0.1111111111111111,15,0.6,0.1111111111111111,28,0.35714285714285715,0.2,43,0.4418604651162791,0.15789473684210525,51,0.39215686274509803,0.5,0.3333333333333333,94,0.1595744680851064,0.2978723404255319,0.5425531914893617,0.4574468085106383,0,0.0,,2026,2026
Addison Patterson,Eastern Michigan,57,26,28,16,16,4,12,21,10,14,2,12,addison patterson,G,Sr,43,24,67,0.6417910447761194,0.37209302325581395,83,0.6867469879518072,0.49122807017543857,32,0.5,0.25,115,0.6347826086956522,0.4383561643835616,33,0.36363636363636365,0.8333333333333334,0.49411764705882355,148,0.5608108108108109,0.21621621621621623,0.22297297297297297,0.777027027027027,16,0.10810810810810811,0.875,2026,2026
Rienk Mast,Nebraska,39,12,21,24,32,8,31,56,29,0,0,0,rienk mast,F,Sr,39,12,51,0.7647058823529411,0.5384615384615384,51,0.7647058823529411,0.5384615384615384,56,0.42857142857142855,0.3333333333333333,107,0.5887850467289719,0.4603174603174603,87,0.3563218390804598,0.9354838709677419,0.6170212765957447,194,0.26288659793814434,0.28865979381443296,0.4484536082474227,0.5515463917525774,0,0.0,,2026,2026
Rick Issanza,Loyola Marymount,18,8,15,3,3,1,0,1,0,13,3,12,rick issanza,C,Sr,5,5,10,0.5,0.6,26,0.6923076923076923,0.8333333333333334,6,0.5,0.3333333333333333,32,0.65625,0.7619047619047619,1,0.0,,0.7619047619047619,33,0.7878787878787878,0.18181818181818182,0.030303030303030304,0.9696969696969697,16,0.48484848484848486,0.8125,2026,2026
Steele Venters,Gonzaga,6,2,1,1,3,0,30,45,29,2,0,1,steele venters,G,Sr,4,2,6,0.6666666666666666,0.0,8,0.75,0.16666666666666666,4,0.25,0.0,12,0.5833333333333334,0.14285714285714285,75,0.4,0.9666666666666667,0.8108108108108109,87,0.09195402298850575,0.04597701149425287,0.8620689655172413,0.13793103448275862,2,0.022988505747126436,1.0,2026,2026
Rashaun Agee,Texas A&M,53,25,35,11,12,6,7,26,7,10,1,9,rashaun agee,F,Sr,43,24,67,0.6417910447761194,0.6046511627906976,78,0.6794871794871795,0.660377358490566,23,0.4782608695652174,0.5454545454545454,101,0.6336633663366337,0.640625,33,0.21212121212121213,1.0,0.676056338028169,134,0.582089552238806,0.17164179104477612,0.2462686567164179,0.753731343283582,11,0.08208955223880597,0.9090909090909091,2026,2026
Tyler Cochran,Rhode Island,41,36,6,8,16,0,18,50,15,0,0,0,tyler cochran,G,Sr,41,36,77,0.5324675324675324,0.14634146341463414,77,0.5324675324675324,0.14634146341463414,24,0.3333333333333333,0.0,101,0.48514851485148514,0.12244897959183673,68,0.2647058823529412,0.8333333333333334,0.31343283582089554,169,0.4556213017751479,0.14201183431952663,0.40236686390532544,0.5976331360946746,0,0.0,,2026,2026
Curt Lewis,Southern Miss,3,5,0,2,9,2,29,45,27,1,0,0,curt lewis,G,Sr,2,5,7,0.2857142857142857,0.0,8,0.375,0.0,11,0.18181818181818182,1.0,19,0.2631578947368421,0.4,74,0.3918918918918919,0.9310344827586207,0.8529411764705882,93,0.08602150537634409,0.11827956989247312,0.7956989247311828,0.20430107526881722,1,0.010752688172043012,1.0,2026,2026
Chase Johnston,High Point,0,0,0,0,1,0,27,42,26,0,0,0,chase johnston,G,Sr,0,0,0,,,0,,,1,0.0,,1,0.0,,69,0.391304347826087,0.9629629629629629,0.9629629629629629,70,0.0,0.014285714285714285,0.9857142857142858,0.014285714285714285,0,0.0,,2026,2026
Devan Cambridge,UCF,21,12,17,0,2,0,7,17,7,6,1,5,devan cambridge,F,Sr,15,11,26,0.5769230769230769,0.8,33,0.6363636363636364,0.8095238095238095,2,0.0,,35,0.6,0.8095238095238095,24,0.2916666666666667,1.0,0.8571428571428571,59,0.559322033898305,0.03389830508474576,0.4067796610169492,0.5932203389830508,7,0.11864406779661017,0.8571428571428571,2026,2026
