YR,Height,Player,Team,Conf,GP,Position,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,Rim%,FT%,2PT%,3PR,3P/100,3PT%
Fr,6-9,Cameron Boozer,Duke,ACC,12,F,76.8,7.3,5.5,18.4,12.8,5.7,134.6,80.9,31.1,61.4,65.3,12.2,22.1,26.8,11.3,2.1,3.4,3.1,52.6,2.4,0.704,0.767,0.659,28.1,7.3,0.333
Sr,6-2,Bruce Thornton,Ohio St.,B10,11,G,88.4,7.1,4.2,12.5,9.5,3,143.5,98.8,21.7,67.6,71.1,1.6,13.2,23.3,8.6,3.7,1.1,2.2,38.8,1.9,0.758,0.852,0.663,40.3,8.1,0.464
Sr,6-9,Yaxel Lendeborg,Michigan,B10,10,F,69.1,6.4,5.1,20,12.3,7.6,150.7,79.5,20.1,70.8,74.6,6.7,18.4,20.4,10.4,3.4,5.2,3,49.4,1.9,0.857,0.864,0.825,55.1,9.3,0.408
So,6-3,Christian Anderson,Texas Tech,B12,12,G,95.3,6.3,4.2,9.4,7.9,1.5,126.5,101.2,24.8,61.3,63.5,2.1,8,33.6,18,2.4,0,2.9,32.5,1.7,0.71,0.736,0.563,56.4,11.4,0.435
Sr,6-7,Keyshawn Hall,Auburn,SEC,11,F,75.4,6.3,3.4,8.1,8.3,-0.2,127.7,103.2,26.2,54.3,64.6,8.4,19.9,12.4,16.1,0.9,1.8,1.1,73.4,2.4,0.554,0.894,0.506,36.7,7.4,0.404
So,6-4,Labaron Philon,Alabama,SEC,11,G,72.2,6.2,3,11.7,10.5,1.2,126.7,102.5,30.9,64.1,65.9,2,9.8,37.6,16.4,2,1.1,2.1,35,2.9,0.724,0.732,0.637,36.3,9.5,0.431
Fr,6-9,AJ Dybantsa,BYU,B12,12,F,77.3,6.2,4.6,12.5,9.5,3,125.9,90.1,31.1,59.8,64.3,6.2,17.5,21.3,13.8,1.4,1.8,2.5,57.7,1.2,0.746,0.766,0.632,18.4,4.6,0.3
Sr,6-7,Cade Tyson,Minnesota,B10,11,G,88.5,6.1,3.6,8.4,8.2,0.3,130.8,103.5,25.8,61.2,67.9,7.3,10,14.7,11.9,1.2,0,1.7,77.6,2.9,0.755,0.817,0.613,44,9.1,0.407
Sr,5-11,Tavari Johnson,Akron,MAC,11,G,74.8,6,2.2,9.7,10,-0.3,139.6,112.1,26.2,65.7,68.5,1.9,4.1,28.5,11.4,3.2,1,2.3,23.5,1.6,0.727,0.889,0.649,36.6,9.3,0.446
So,6-5,Cameron Carr,Baylor,B12,11,F,78.7,6,3.2,9.3,8.5,0.8,135.7,104,23.3,64.2,68.2,3.3,15.8,8.5,12.2,0.9,5.1,1.1,45.8,2.2,0.706,0.818,0.655,41.7,9.5,0.417
Sr,6-1,Tamin Lipsey,Iowa St.,B12,8,G,57.6,5.8,5.1,14.2,7.9,6.3,137.5,86.5,22,54.1,57.2,4.9,8,27.7,5,9,0.5,5.6,24.7,1.7,0.649,0.792,0.591,32,6.9,0.29
Sr,6-11,Oscar Cluff,Purdue,B10,12,C,57.6,5.8,3.3,13,9.9,3.1,159.8,91.5,19.8,73.4,75.4,24.2,22,13.2,7.7,3,4.3,0.9,40.5,4.8,0.807,0.813,0.734,0,0,0
Fr,6-2,Ebuka Okorie,Stanford,ACC,10,G,68.1,5.8,3.6,10.2,7.9,2.3,126.8,100.9,27.8,50,58.3,2.4,11.3,19.6,7.4,2.5,1,3.1,63,2,0.557,0.815,0.511,38.4,9.6,0.321
Sr,6-5,Richie Saunders,BYU,B12,12,G,78.3,5.7,4.8,12.2,8.1,4,134.3,89,22.7,62.1,66,5.2,12.5,12.3,10,1.7,1.2,4.1,40,2.3,0.667,0.821,0.627,52.1,11,0.411
Sr,6-4,MJ Collins,Utah St.,MWC,10,G,76.6,5.7,3.4,9.6,8.7,0.9,140.8,100.9,21.9,66,70,1.6,6.5,12.1,9.4,1.9,0.4,1.9,39.5,1.8,0.727,0.872,0.613,47.9,10.7,0.474
Sr,6-7,Nick Martinelli,Northwestern,B10,11,F,73.4,5.7,3.4,7.8,7.9,-0.1,131.2,101.9,26.5,64.3,67.6,10.1,13.6,10.8,10,1.1,1.6,1.2,51.7,3.3,0.75,0.77,0.592,16.1,3.8,0.609
Sr,6-7,Nick Townsend,Yale,Ivy,10,F,84.7,5.7,2.4,6.6,7.8,-1.1,132.2,112.1,25.5,59.8,63.8,7.9,19.4,27.2,13.9,2.2,0,0.5,41.9,2.4,0.56,0.796,0.518,29.1,6,0.529
Sr,6-4,Bennett Stirtz,Iowa,B10,12,G,90.9,5.6,4.9,9.6,6.6,3,130.8,94.4,21.8,59.6,63,1.3,7.9,25,11.7,3.3,0.6,3,35.3,2.1,0.641,0.792,0.557,48.5,9.3,0.424
Sr,6-2,Kylan Boswell,Illinois,B10,11,G,81,5.6,3.6,6.8,5.4,1.4,132.5,100.6,21.8,54.7,60.6,5.5,8.7,17.8,10.3,2.7,0,1.1,54.3,3.4,0.692,0.794,0.594,44.8,8.3,0.327
