Player_lower,Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,RimFG%,RimAst%,MidFG%,MidAst%,ThreeFG%,ThreeAst%,DunkFG%,DunkAst%
a.j. hammons,A.J. Hammons,385,116,265,221,391,144,6,16,6,128,14,108,76.84630738522954,40.76923076923077,36.11111111111111,39.45205479452055,27.27272727272727,50.0,90.14084507042254,45.76271186440678
aaron gordon,Aaron Gordon,137,61,76,36,104,13,16,29,14,54,2,40,69.1919191919192,35.68075117370892,25.71428571428571,26.53061224489796,35.55555555555556,46.666666666666664,96.42857142857143,42.5531914893617
aaron holiday,Aaron Holiday,179,135,27,117,200,11,180,247,122,11,0,1,57.00636942675159,13.106796116504855,36.90851735015773,8.59375,42.15456674473068,40.397350993377486,100.0,8.333333333333332
aaron nesmith,Aaron Nesmith,71,51,19,29,55,4,119,171,102,17,0,7,58.19672131147541,21.11111111111111,34.523809523809526,12.121212121212121,41.03448275862069,46.15384615384615,100.0,29.166666666666668
aaron wiggins,Aaron Wiggins,126,79,46,75,161,18,168,302,154,35,3,17,61.46341463414634,26.744186046511626,31.779661016949152,19.35483870967742,35.74468085106383,47.82608695652174,92.10526315789474,32.69230769230769
abdel nader,Abdel Nader,185,128,75,115,254,28,127,290,107,47,2,31,59.105431309904155,28.846153846153843,31.16531165311653,19.58041958041958,30.455635491606714,45.72649572649573,95.91836734693877,39.743589743589745
ace bailey,Ace Bailey,64,41,34,92,108,25,47,89,36,24,2,20,60.952380952380956,34.69387755102041,46.0,21.367521367521366,34.55882352941176,43.373493975903614,92.3076923076923,45.45454545454545
adem bona,Adem Bona,195,63,110,37,76,16,0,1,0,90,6,71,75.5813953488372,36.0655737704918,32.743362831858406,30.18867924528302,0.0,0.0,93.75,44.099378881987576
admiral schofield,Admiral Schofield,213,125,118,183,271,85,183,290,170,42,6,31,63.01775147928994,35.64954682779456,40.308370044052865,31.716417910447763,38.6892177589852,48.1586402266289,87.5,42.465753424657535
adou thiero,Adou Thiero,138,87,63,54,61,18,21,53,21,69,7,44,61.33333333333333,31.343283582089555,46.95652173913044,25.0,28.37837837837838,50.0,90.78947368421053,38.93805309734513
adreian payne,Adreian Payne,239,95,134,143,215,67,61,88,57,120,11,77,71.55688622754491,35.924932975871315,39.94413407821229,31.9047619047619,40.939597315436245,48.30508474576271,91.6030534351145,39.08629441624365
aj griffin,AJ Griffin,42,16,19,33,46,7,71,88,61,8,2,6,72.41379310344827,31.147540983606557,41.77215189873418,17.5,44.65408805031446,46.21212121212121,80.0,42.857142857142854
ajay mitchell,Ajay Mitchell,248,151,30,169,188,21,63,131,48,4,0,1,62.15538847117794,10.79136690647482,47.33893557422969,11.052631578947368,32.47422680412371,43.24324324324324,100.0,20.0
al-farouq aminu,Al-Farouq Aminu,112,61,50,37,98,11,18,48,17,46,2,31,64.73988439306359,30.864197530864196,27.40740740740741,22.916666666666664,27.27272727272727,48.57142857142857,95.83333333333334,40.25974025974026
alec burks,Alec Burks,225,121,92,134,191,30,47,102,27,46,2,34,65.02890173410405,29.02208201892745,41.23076923076923,18.29268292682927,31.543624161073826,36.486486486486484,95.83333333333334,42.5
alec peters,Alec Peters,309,157,130,154,247,78,270,384,246,15,3,11,66.30901287553648,29.6127562642369,38.403990024937656,33.62068965517241,41.284403669724774,47.674418604651166,83.33333333333334,42.30769230769231
alex len,Alex Len,165,60,108,59,125,36,1,8,1,88,5,70,73.33333333333333,39.56043956043956,32.065217391304344,37.89473684210527,11.11111111111111,50.0,94.6236559139785,44.303797468354425
alijah martin,Alijah Martin,296,195,105,61,114,10,300,533,252,70,24,41,60.28513238289206,26.184538653366584,34.85714285714286,14.084507042253522,36.014405762304925,45.65217391304348,74.46808510638297,36.93693693693694
alize johnson,Alize Johnson,120,62,32,135,172,24,80,165,62,13,2,10,65.93406593406593,21.052631578947366,43.97394136807817,15.09433962264151,32.6530612244898,43.66197183098591,86.66666666666667,43.47826086956522
allen crabbe,Allen Crabbe,130,55,79,194,269,93,209,338,184,23,3,14,70.27027027027027,37.79904306220095,41.90064794816415,32.40418118466899,38.20840950639854,46.81933842239186,88.46153846153845,37.83783783783784
amari bailey,Amari Bailey,77,41,38,37,64,16,21,33,17,16,1,13,65.2542372881356,33.04347826086956,36.633663366336634,30.18867924528302,38.88888888888889,44.73684210526316,94.11764705882352,44.827586206896555
amari williams,Amari Williams,387,199,175,140,253,39,9,21,5,129,15,82,66.04095563139933,31.13879003558719,35.6234096692112,21.787709497206702,30.0,35.714285714285715,89.58333333333334,38.862559241706165
andre drummond,Andre Drummond,130,55,86,27,78,15,0,2,0,80,9,64,70.27027027027027,39.81481481481482,25.71428571428571,35.714285714285715,0.0,0.0,89.8876404494382,44.44444444444444
andre jackson jr.,Andre Jackson Jr.,52,26,35,15,31,7,25,64,21,29,7,25,66.66666666666666,40.229885057471265,32.608695652173914,31.818181818181817,28.08988764044944,45.65217391304348,80.55555555555556,46.2962962962963
andre roberson,Andre Roberson,274,143,125,40,111,16,49,88,40,79,12,49,65.70743405275779,31.32832080200501,26.490066225165563,28.57142857142857,35.76642335766424,44.9438202247191,86.81318681318682,38.28125
andrew goudelock,Andrew Goudelock,83,53,8,257,291,34,228,341,104,9,1,4,61.029411764705884,8.791208791208792,46.8978102189781,11.683848797250858,40.070298769771526,31.32530120481928,90.0,30.76923076923077
andrew harrison,Andrew Harrison,81,72,5,72,185,5,69,119,54,5,1,1,52.94117647058824,5.813953488372093,28.01556420233463,6.493506493506493,36.702127659574465,43.90243902439025,83.33333333333334,16.666666666666664
