PLAYER_ID,PLAYER_NAME,SEASON,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,BENCH_PRESS,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,MODIFIED_LANE_AGILITY_TIME
2124,Malik Allen,2000,PF-C,80.25,6' 8.25'',,,271,86.5,7' 2.5'',109.0,9' 1'',,,,13,25.5,29.0,11.83,3.38,
12019,Harold Arceneaux,2000,SG-SF,76.5,6' 4.5'',,,219,80.5,6' 8.5'',103.0,8' 7'',,,,0,,29.0,13.8,,
12020,Lamont Barnes,2000,PF-C,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,,10,28.0,29.5,12.3,3.4,
12131,Mario Bland,2000,PF,77.5,6' 5.5'',,,287,84.0,7' 0'',103.0,8' 7'',,,,15,27.0,31.0,13.04,3.47,
2056,Primoz Brezec,2000,C,84.75,7' 0.75'',,,243,86.0,7' 2'',110.0,9' 2'',,,,,26.0,29.5,11.53,3.55,
2081,Ernest Brown,2000,C,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,,2,,,,,
2049,Speedy Claxton,2000,PG,70.5,5' 10.5'',,,166,72.0,6' 0'',94.5,7' 10.5'',,,,6,36.0,42.5,10.48,3.06,
12132,Eric Coley,2000,SG-SF,76.0,6' 4'',,,205,83.0,6' 11'',102.0,8' 6'',,,,10,35.0,38.0,11.4,3.15,
12133,Ed Cota,2000,PG,72.25,6' 0.25'',,,189,76.0,6' 4'',96.5,8' 0.5'',,,,1,26.5,33.5,10.98,3.24,
12134,Schea Cotton,2000,SF,76.25,6' 4.25'',,,219.5,79.0,6' 7'',100.0,8' 4'',,,,19,34.0,38.0,11.55,3.0,
2037,Jamal Crawford,2000,PG-SG,76.5,6' 4.5'',,,175,82.0,6' 10'',102.5,8' 6.5'',,,,0,,,,,
12017,Caswell Cyrus,2000,PF,79.75,6' 7.75'',,,220.5,86.0,7' 2'',107.5,8' 11.5'',,,,18,33.5,37.5,12.12,3.16,
2064,Khalid El-Amin,2000,PG,69.0,5' 9'',,,200,73.5,6' 1.5'',93.0,7' 9'',,,,6,27.5,32.0,10.59,3.32,
12018,Vassil Evtimov,2000,PF,81.75,6' 9.75'',,,262,82.5,6' 10.5'',106.5,8' 10.5'',,,,13,21.0,28.5,11.75,3.52,
2238,Antonis Fotsis,2000,SF,81.25,6' 9.25'',,,219,80.5,6' 8.5'',106.0,8' 10'',,,,2,27.0,30.0,11.6,3.44,
2109,Eddie Gill,2000,PG,71.75,5' 11.75'',,,176,76.0,6' 4'',93.0,7' 9'',,,,13,35.0,38.5,11.12,3.18,
12135,Ceedric Goodwyn,2000,SF-PF,78.0,6' 6'',,,238,82.0,6' 10'',104.5,8' 8.5'',,,,,,,,,
12136,Marcus Goree,2000,SF-PF,79.5,6' 7.5'',,,239,84.5,7' 0.5'',105.5,8' 9.5'',,,,13,29.5,33.5,12.0,3.25,
12137,A.J. Granger,2000,SF,79.5,6' 7.5'',,,227,81.5,6' 9.5'',103.0,8' 7'',,,,20,30.0,34.0,10.73,3.25,
2062,A.J. Guyton,2000,PG-SG,72.75,6' 0.75'',,,175,75.75,6' 3.75'',97.5,8' 1.5'',,,,9,33.0,37.5,10.55,3.22,
2110,Ron Hale,2000,SG-SF,79.5,6' 7.5'',,,202,83.0,6' 11'',104.5,8' 8.5'',,,,11,29.5,34.5,12.58,3.2,
2078,Jason Hart,2000,PG,73.75,6' 1.75'',,,181,78.0,6' 6'',97.5,8' 1.5'',,,,9,29.5,33.5,11.7,3.34,
