Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,First_Season,Last_Season,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,player_lower,Height
A.J. Hammons,385,116,265,221,391,144,6,16,6,128,14,108,2013,2016,257,102,359,0.7158774373259053,0.6108949416342413,501,0.7684630738522954,0.6883116883116883,612,0.3611111111111111,0.6515837104072398,1113,0.5444743935309974,0.6749174917491749,22,0.2727272727272727,1.0,0.6781045751633987,1135,0.4414096916299559,0.5392070484581498,0.0193832599118942,0.9806167400881056,a.j. hammons,
AJ Green,80,63,23,224,315,10,252,414,109,1,0,1,2019,2022,79,63,142,0.5563380281690141,0.2784810126582278,143,0.5594405594405595,0.2875,539,0.4155844155844156,0.0446428571428571,682,0.4457478005865102,0.1085526315789473,666,0.3783783783783784,0.4325396825396825,0.2553956834532374,1348,0.1060830860534124,0.3998516320474777,0.4940652818991098,0.5059347181008902,aj green,
AJ Griffin,42,16,19,33,46,7,71,88,61,8,2,6,2022,2022,34,14,48,0.7083333333333334,0.3823529411764705,58,0.7241379310344828,0.4523809523809524,79,0.4177215189873418,0.2121212121212121,137,0.5474452554744526,0.3466666666666667,159,0.4465408805031446,0.8591549295774648,0.5958904109589042,296,0.1959459459459459,0.2668918918918919,0.5371621621621622,0.4628378378378378,aj griffin,
AJ Lawson,84,75,17,28,59,8,74,154,68,11,1,4,2021,2022,73,74,147,0.4965986394557823,0.1780821917808219,159,0.5283018867924528,0.2023809523809523,87,0.3218390804597701,0.2857142857142857,246,0.4552845528455284,0.2232142857142857,228,0.3245614035087719,0.918918918918919,0.5,474,0.3354430379746835,0.1835443037974683,0.4810126582278481,0.5189873417721519,aj lawson,77.5
Aaron Gordon,137,61,76,36,104,13,16,29,14,54,2,40,2014,2014,83,59,142,0.5845070422535211,0.4337349397590361,198,0.6919191919191919,0.5547445255474452,140,0.2571428571428571,0.3611111111111111,338,0.5118343195266272,0.5144508670520231,45,0.3555555555555555,0.875,0.544973544973545,383,0.5169712793733682,0.3655352480417754,0.1174934725848564,0.8825065274151436,aaron gordon,79.5
Aaron Harrison,122,57,35,79,163,15,121,240,112,21,5,7,2014,2015,101,52,153,0.6601307189542484,0.2772277227722772,179,0.6815642458100558,0.2868852459016393,242,0.3264462809917355,0.189873417721519,421,0.4774346793349168,0.2487562189054726,361,0.335180055401662,0.9256198347107438,0.5031055900621118,782,0.2289002557544757,0.309462915601023,0.4616368286445013,0.5383631713554987,aaron harrison,76.5
Aaron Henry,143,97,75,154,200,66,70,140,67,28,8,21,2019,2021,115,89,204,0.5637254901960784,0.4695652173913043,240,0.5958333333333333,0.5244755244755245,354,0.4350282485875706,0.4285714285714285,594,0.5,0.4747474747474747,210,0.3333333333333333,0.9571428571428572,0.5667574931880109,804,0.2985074626865671,0.4402985074626865,0.2611940298507462,0.7388059701492538,aaron henry,76.5
Aaron Holiday,179,135,27,117,200,11,180,247,122,11,0,1,2016,2018,168,135,303,0.5544554455445545,0.1547619047619047,314,0.5700636942675159,0.1508379888268156,317,0.3690851735015772,0.094017094017094,631,0.4690966719492868,0.1283783783783783,427,0.4215456674473068,0.6777777777777778,0.3361344537815126,1058,0.2967863894139886,0.2996219281663516,0.4035916824196597,0.5964083175803403,aaron holiday,71.75
Aaron Nesmith,71,51,19,29,55,4,119,171,102,17,0,7,2019,2020,54,51,105,0.5142857142857142,0.2222222222222222,122,0.5819672131147541,0.2676056338028169,84,0.3452380952380952,0.1379310344827586,206,0.4854368932038835,0.23,290,0.4103448275862069,0.8571428571428571,0.5707762557077626,496,0.2459677419354838,0.1693548387096774,0.5846774193548387,0.4153225806451613,aaron nesmith,
Aaron Wiggins,126,79,46,75,161,18,168,302,154,35,3,17,2019,2021,91,76,167,0.5449101796407185,0.3186813186813186,205,0.6146341463414634,0.365079365079365,236,0.3177966101694915,0.24,441,0.4557823129251701,0.3184079601990049,470,0.3574468085106383,0.9166666666666666,0.5907859078590786,911,0.2250274423710208,0.2590559824368825,0.5159165751920965,0.4840834248079034,aaron wiggins,76.5
