YR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
Fr,6-4,Cameron Thomas,LSU,SEC,29,G,84.6,6,2.8,5.3,6.5,-1.2,114.6,103.4,29.2,47.4,55.3,2,8.2,8.3,9.4,0.9,0.7,1.4,44,1.6,0.642,0.882,0.464,41.8,11.7,0.325
Fr,6-4,Jamal Murray,Kentucky,SEC,36,G,87.1,5.4,4,8.9,8,0.9,118,96.8,25.4,55.9,59,4.9,11.1,12.1,15.3,0.9,0.9,1.6,28.3,2.4,0.694,0.783,0.502,51.5,12.8,0.408
Fr,6-7,R.J. Barrett,Duke,ACC,38,G,87.9,5.4,4.9,7.2,5.9,1.3,108,89,31.3,50.6,53.2,4.8,17.2,23.5,15.9,1.3,1.2,1.4,31.9,2.1,0.641,0.665,0.529,33.8,9.6,0.308
So,6-6,Alec Burks,Colorado,B12,65,G,75.9,5.4,2.6,6.8,7.3,-0.6,116.5,102.1,29.9,52.4,59.5,8.8,13.5,17.1,14.6,1,1.2,2.1,58.7,3.2,0.65,0.808,0.535,18.2,4.3,0.315
So,6-6,Luke Kennard,Duke,ACC,73,G,77.6,5.2,3.6,7.3,6.2,1.2,124.5,97.5,21.8,54.8,60,4,11.5,12.3,10.1,1.7,0.8,1.7,34.8,2.7,0.652,0.867,0.526,45.5,9.5,0.383
Fr,6-7,Kon Knueppel,Duke,ACC,39,G,76.2,5.2,4.2,9.5,6.5,3,130.7,91.8,20.9,59,64.2,4.3,10.3,15.7,12.9,2,0.6,2,33.9,2.8,0.631,0.914,0.567,54.8,10.5,0.406
So,6-5,Brandin Podziemski,Santa Clara,WCC,47,G,44.5,5.1,4,9.3,6.9,2.4,119.5,95.2,25.1,57.3,59.6,5.4,21,20.4,14.3,1.6,1.2,2.7,31.6,2.2,0.635,0.77,0.52,41.3,9.1,0.432
Jr,6-6,James Anderson,Oklahoma St.,B12,100,G,81.7,5,3.5,8.2,7.4,0.7,115.7,96.2,25.5,55,59.9,7,11.1,11,14.8,0.8,2,1.9,40.9,2.6,0.636,0.798,0.536,47.2,10.4,0.377
Sr,6-6,Jimmy Butler,Marquette,BE,106,G,73.4,4.8,3.4,7.9,6.1,1.8,126.8,94.8,19.4,53.1,60.7,9.4,12.7,11.2,10.7,1.6,1.7,2.2,81.2,2.3,0.683,0.773,0.525,12.2,1.8,0.383
Fr,6-5,V.J. Edgecombe,Baylor,B12,32,G,74.1,4.8,4,10,6.4,3.6,115.8,96,24.4,50.7,54.9,7.1,13.6,19,15,1.7,2.3,3.8,37.7,3.1,0.603,0.779,0.509,40.2,8.7,0.336
Sr,6-5,John Konchar,Purdue Fort Wayne,Sum,121,G,83,4.6,3.4,7.1,5.4,1.8,126.9,102.8,20.8,61.3,61.5,7.5,20.8,21.2,14,2.3,1.8,3.2,38.2,2.4,0.688,0.708,0.619,34.1,5.5,0.4
Jr,6-5,Jabari Brown,Missouri,SEC,62,G,52.2,4.6,3.2,4.5,4.8,-0.3,115.3,101.6,22.7,54,59.8,1.7,10.6,10.3,16.4,0.8,0.3,1.1,55.3,2.1,0.657,0.782,0.499,51,9.8,0.386
Sr,6-6,Jae Crowder,Marquette,BE,72,G,75.4,4.6,4.4,11.1,7.2,3.9,121.7,85.7,20.8,56,58.4,8.2,19.7,12.5,9.3,1.8,3.2,3.6,37.7,3.2,0.711,0.683,0.581,38.6,7.7,0.35
So,6-5,Jordan Adams,UCLA,P12,69,G,71.5,4.5,3.8,9.6,6.1,3.6,118.3,91.6,24.1,52.9,58.9,5.1,12.2,13.1,10.7,1.5,0.8,4.6,42.9,2.9,0.721,0.839,0.548,37.1,8.1,0.331
Fr,6-5,Ben McLemore,Kansas,B12,37,G,79.1,4.5,4.2,9.5,6.6,2.9,118.7,87.4,22,58.6,63.3,5,12.3,12.6,17.2,0.9,2.2,1.8,34.5,2.3,0.714,0.87,0.553,43.5,8.6,0.42
Sr,6-7,Da'Sean Butler,West Virginia,BE,109,G,81.3,4.5,4.2,6.8,5.3,1.5,113.2,90.1,23.8,50.1,54.1,6.7,14.6,14.5,14.3,1.2,1,1.8,34.9,3,0.633,0.743,0.484,34.2,7.9,0.355
Sr,6-6,Chris Duarte,Oregon,P12,54,G,72.2,4.5,3.9,8.7,6.2,2.5,115,92.2,22.6,56.2,59.3,4.5,14.9,12.7,15.6,1.1,2.5,3.3,26,1.9,0.63,0.803,0.555,46.9,9.8,0.38
Sr,6-4,Buddy Hield,Oklahoma,B12,132,G,75.6,4.4,3.8,8.6,6.8,1.8,112.5,94.1,25.3,54.8,58.4,5.6,11.4,12.9,15.5,0.9,0.9,2.3,25.1,2.4,0.624,0.836,0.508,51.1,12.2,0.39
So,6-4,Doron Lamb,Kentucky,SEC,78,G,74.5,4.4,3.2,5.8,4.7,1.1,125.1,95.3,18.6,58.9,62.7,1.8,6.7,10,13,1.3,0.4,1,36,2.7,0.639,0.811,0.492,43.7,7.8,0.475
Sr,6-2,Langston Galloway,Saint Joseph's,A10,133,G,87.9,4.4,3.3,5.8,4.8,1,119.3,100.5,19.7,55.2,58.8,3.4,10.9,13.7,10.3,1.9,1.5,2.2,27,2.8,0.624,0.821,0.452,53.7,10.5,0.426
Sr,6-5,Josh Hart,Villanova,BE,146,G,69.6,4.4,4,8.9,6.1,2.8,122.4,89.3,22.3,58.9,61.4,7.9,15.5,13.3,12.7,1.4,1.2,2.4,38.9,3.2,0.726,0.72,0.592,40.1,7.8,0.389
Fr,6-6,Moses Moody,Arkansas,SEC,32,G,84.2,4.4,4.1,6.1,4.5,1.6,116,92.4,21.6,50.3,56.8,6.3,11.8,8,11.8,1,2,1.6,48.2,2.7,0.564,0.812,0.478,42,8,0.358
Jr,6-6,R.J. Hunter,Georgia St.,SB,95,G,85.3,4.4,3.4,7.3,6.3,1,115.2,99.7,26,51.3,57.5,2.5,13.9,14.6,11.1,1.5,3.5,3.5,39.3,2.5,0.688,0.854,0.499,53.7,12.7,0.35
So,6-6,Glenn Robinson III,Michigan,B10,75,G,81.8,4.3,3.6,5.8,4.5,1.3,121.1,96.4,18.1,56.5,59.1,6.9,11.3,6.6,10.7,1.1,0.9,1.9,33.9,1.6,0.767,0.718,0.601,27.2,4.6,0.313
Jr,6-7,Mikal Bridges,Villanova,BE,116,G,68.1,4.3,4,10.5,6,4.5,128.3,88.9,17.9,62.3,65.6,5.4,13.3,10.3,13.3,1.5,3.5,3,31.2,3.3,0.741,0.845,0.645,49,7.9,0.4
Fr,6-3,Bradley Beal,Florida,SEC,37,G,84.7,4.3,4,7.6,5.3,2.3,112.3,92.2,22.4,52.5,57.5,4.8,18.1,12.7,17,1.1,2.6,2.5,44,2.4,0.65,0.769,0.541,47.3,9,0.339
Fr,6-3,Jared McCain,Duke,ACC,36,G,79,4.2,3.9,7.6,5.5,2,122,95.3,19.7,57.7,61.1,3,15.3,10.7,12.2,1.4,0.3,2,23,2,0.596,0.885,0.521,55.4,11,0.414
Fr,6-6,Gary Trent Jr.,Duke,ACC,37,G,83.8,4.2,3.9,5.8,3.9,1.9,122.3,96.4,17.3,52.8,56.7,2.9,10.3,6.8,9.9,1.4,0.4,2,22.7,2,0.635,0.876,0.43,56.4,10.9,0.402
Fr,6-5,Tyler Herro,Kentucky,SEC,37,G,81,4.2,4.4,8.1,4.6,3.5,118.2,90.7,20,53.6,58,1.6,14,15.2,14.8,1.5,1.1,2,23.1,1.6,0.667,0.935,0.538,41.9,8.3,0.355
Sr,6-6,Terrence Shannon Jr.,Illinois,B10,146,G,61.1,4.2,3.6,6.9,4.8,2.2,113.9,92.5,24.9,52.6,58.8,4,11.8,13.6,15.3,1,1.6,2.1,52,2.9,0.646,0.793,0.529,38.6,8,0.347
So,6-6,Bennedict Mathurin,Arizona,P12,63,G,72.9,4.2,3.5,6.7,5.6,1.1,118.6,93.5,21.8,54.7,59.1,5.3,13.9,12.2,13.5,1.3,0.6,1.6,38.6,2.4,0.652,0.789,0.52,46.9,9.5,0.385
Sr,6-6,Damion Lee,Louisville,ACC,124,G,63.9,4.2,3.6,7,5.4,1.7,114.9,96,24.7,52.2,57.8,3.4,14.5,14.6,13.9,1.1,0.7,2.2,39.2,2.9,0.619,0.843,0.501,48.3,11,0.363
So,6-5,Jeremy Lamb,Connecticut,BE,75,G,79,4.2,3.6,7.3,5.4,1.9,116,94.3,20.8,55.3,58,3.9,11.6,11.1,14.8,1.1,1.9,2,21.5,2,0.786,0.806,0.573,40.6,8.6,0.348
Fr,6-5,Ja'Kobe Walter,Baylor,B12,34,G,77.3,4.2,3.3,4.4,4,0.4,115.5,100.5,22.1,47.6,53.5,5.5,12.3,8.2,11.2,1.1,0.8,2,48.9,2.6,0.541,0.792,0.419,57.2,11.5,0.346
Sr,6-6,Trevon Bluiett,Xavier,BE,141,G,77.9,4.1,3.6,5.8,4.9,0.9,113.9,97.3,22.9,52.9,57.6,4.1,15,13,14,1.2,0.6,1.4,39,2.8,0.573,0.784,0.478,50,10.4,0.387
Fr,6-5,Malaki Branham,Ohio St.,B10,32,G,73.6,4.1,2.8,5,4.6,0.4,115,99.6,23.4,55.4,59.4,3.5,10.5,14.7,15.1,1.2,1,1.6,29.8,2.4,0.722,0.833,0.53,28,5.9,0.411
Sr,6-5,Sheldon McClellan,Miami FL,ACC,140,G,74.1,4.1,3.3,6.7,5.2,1.4,117.4,96.2,21.9,52.1,58.1,3.6,11,9.7,11.7,1.1,0.6,1.9,45,1.7,0.695,0.816,0.525,37.4,7.5,0.343
Sr,6-5,C.J. Wilcox,Washington,P12,131,G,68.2,4.1,2.9,7.3,6.2,1.1,117.6,99.2,22.2,53.5,57.1,3.3,10.2,11.9,12.5,1.2,2.6,1.8,24.2,2.7,0.635,0.84,0.481,52.3,12,0.389
Sr,6-5,Patrick Christopher,California,P12,101,G,85.1,4.1,3.2,4.3,4,0.4,111.4,99.4,21.7,50.7,54.3,4.6,10.3,11.6,13.3,1.2,0.4,1.7,23,2.5,0.719,0.828,0.504,34.8,7.5,0.342
Sr,6-5,Marshon Brooks,Providence,BE,114,G,56.1,4,2.6,6.4,6,0.5,112.1,100.7,25.4,52.6,55.9,6.4,11.6,12.9,15.7,0.9,2.6,2.5,31.5,3.1,0.664,0.739,0.543,37.5,9.1,0.333
So,6-5,Kentavious Caldwell-Pope,Georgia,SEC,64,G,81.5,4,4.1,9.6,6.5,3.1,108.5,90,25.3,50.7,54.3,4.6,17.3,13.4,11.9,1,1.6,3.8,30.4,2.6,0.639,0.752,0.504,53.9,13.4,0.339
Sr,6-6,Max Strus,DePaul,BE,66,G,89.6,4,3.5,4.4,4.1,0.3,111.3,101.9,23.4,52.1,56.2,4,14.1,13.1,15,1.1,1.7,1.7,28.6,3.2,0.657,0.825,0.515,57.7,12.8,0.35
Sr,6-7,Andrew White III,Syracuse,ACC,112,G,44.5,4,3.3,5.5,4.9,0.6,115.4,98.2,22.3,56.6,59.8,3.7,14.9,5.2,13.3,0.5,1.2,2.4,29.7,3,0.715,0.786,0.533,58.4,12.9,0.393
Sr,6-6,Desmond Bane,TCU,B12,139,G,74.2,4,3.5,6.1,4.3,1.8,117.7,96.8,18.9,58.6,61.4,3.8,14.4,16.1,16,1.5,1.3,1.8,21.6,2.8,0.671,0.802,0.539,43.1,7.8,0.432
Jr,6-6,Allen Crabbe,California,P12,98,G,84.4,3.9,3.9,6.9,5.2,1.7,111.2,93.7,21.8,53.3,57.1,3.1,15.7,13.6,14.5,1.2,1.7,1.5,26.8,1.9,0.703,0.819,0.5,45.8,9.6,0.382
Fr,6-5,Zhaire Smith,Texas Tech,B12,37,G,70.5,3.9,4,9.5,5.5,4,124.3,88.8,18.6,58.5,61.5,9.1,11.2,12.1,12.6,1.5,4.4,2.4,45.8,2.5,0.62,0.717,0.57,14.4,2.2,0.45
So,6-4,Jaden Ivey,Purdue,B10,59,G,64.3,3.9,3.3,6.2,5,1.2,108.8,94.5,27,50.8,55.3,3.1,13.9,18.3,16.4,1.2,2.6,1.7,42.3,2.4,0.661,0.739,0.525,41.6,9.8,0.322
Sr,6-7,Jordan Miller,Miami FL,ACC,141,G,70.5,3.9,3.2,4.5,4,0.5,118.6,99.9,19.5,55.8,58.4,8.5,13.3,10.2,12.7,1.3,1.5,2.2,31.5,2.4,0.689,0.729,0.579,25.5,4.4,0.331
Jr,6-2,Kyle Guy,Virginia,ACC,106,G,72,3.8,4.2,7.2,5.1,2.1,113.8,90.1,22.1,55.2,57.2,1.9,10.7,11.9,11.3,1.5,0.2,1.6,16.1,1.5,0.522,0.806,0.444,55.5,12.8,0.425
